time,seconds_elapsed,level,frequency,capabilities,BSSID,SSID
1784298582373000000,0,-95,2442,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],82:61:20:32:f8:28,vivo Y19s
1784298582373000000,0,-95,2472,[WPA-PSK-TKIP+CCMP-128][WPA2-PSK-TKIP+CCMP-128][RSN-PSK-TKIP+CCMP-128][ESS],00:0c:43:72:c0:e4,MTX-Router
1784298622394000000,40.02099975585938,-66,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],46:48:b9:e3:0a:57,MOVISTAR_0A50
1784298622394000000,40.02099975585938,-65,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],44:48:b9:e3:0a:57,MOVISTAR_PLUS_0A50
1784298622394000000,40.02099975585938,-64,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],44:48:b9:e3:0a:50,MOVISTAR_0A50
1784298662394000000,80.02099975585938,-93,2437,[ESS],00:1f:d4:05:d2:5d,SB Ciutat de Tarragona
1784298662394000000,80.02099975585938,-64,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],02:1f:d4:05:c7:f4,SBWI
1784298662394000000,80.02099975585938,-94,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],08:33:ed:24:43:ae,MOVISTAR-WIFI6-43A0
1784298662394000000,80.02099975585938,-84,5500,[ESS],70:6b:b9:83:af:cf,INVITADOS DG
1784298662394000000,80.02099975585938,-84,5500,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],70:6b:b9:83:af:ce,INTERNET DG
1784298662394000000,80.02099975585938,-65,2462,[ESS],00:1f:d4:05:c8:df,SB Ciutat de Tarragona
1784298662394000000,80.02099975585938,-91,2437,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],02:1f:d4:05:d3:3e,SBWI
1784298662394000000,80.02099975585938,-64,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],22:1f:d4:05:c7:d6,Meetings
1784298662394000000,80.02099975585938,-69,2437,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],02:1f:d4:05:c7:db,SBWI
1784298662394000000,80.02099975585938,-92,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],02:1f:d4:05:d1:37,SBWI
1784298662394000000,80.02099975585938,-91,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2c:96:82:6c:8b:d5,MOVISTAR_8BD4
1784298662394000000,80.02099975585938,-94,5540,[ESS],10:c1:72:0a:50:53,WiFi-INVITADOS
1784298662394000000,80.02099975585938,-69,2417,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],b0:c5:54:1c:f0:77,DCS-5010L-F077
1784298662394000000,80.02099975585938,-80,5500,[ESS],00:1f:d4:05:c7:d7,SB Ciutat de Tarragona
1784298662394000000,80.02099975585938,-65,2462,[ESS],00:1f:d4:05:c7:d6,SB Ciutat de Tarragona
1784298662394000000,80.02099975585938,-91,2442,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],ca:8a:d8:3b:d1:00,DIRECT-Qu-Pantum BP5100DW
1784298662394000000,80.02099975585938,-86,2412,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],22:27:22:51:e6:02,(hidden SSID)
1784298662394000000,80.02099975585938,-67,2462,[ESS],00:1f:d4:05:c7:f4,SB Ciutat de Tarragona
1784298662394000000,80.02099975585938,-93,5220,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],02:1f:d4:05:c7:e1,SBWI
1784298662394000000,80.02099975585938,-94,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],0a:33:ed:34:43:ae,(hidden SSID)
1784298662394000000,80.02099975585938,-83,2437,[ESS],00:1f:d4:05:cc:bd,SB Ciutat de Tarragona
1784298662394000000,80.02099975585938,-87,2437,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],02:1f:d4:05:d2:3f,SBWI
1784298662394000000,80.02099975585938,-64,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],22:1f:d4:05:c7:f4,Meetings
1784298662394000000,80.02099975585938,-84,2437,[ESS],00:1f:d4:05:d2:c6,SB Ciutat de Tarragona
1784298662394000000,80.02099975585938,-67,2437,[ESS],00:1f:d4:05:c7:db,SB Ciutat de Tarragona
1784298662394000000,80.02099975585938,-96,5745,[ESS],00:1f:d4:05:d4:66,SB Ciutat de Tarragona
1784298662394000000,80.02099975585938,-83,2462,[ESS],00:1f:d4:05:d1:36,SB Ciutat de Tarragona
1784298662394000000,80.02099975585938,-90,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],02:1f:d4:05:c9:d4,SBWI
1784298662394000000,80.02099975585938,-65,2462,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],02:1f:d4:05:c7:d6,SBWI
1784298702396000000,120.023,-89,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],92:d3:cf:b0:12:fe,(hidden SSID)
1784298702396000000,120.023,-94,5320,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],46:ab:f8:e6:a0:be,MOVISTAR_A0B0
1784298702396000000,120.023,-76,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],86:aa:9c:f9:eb:a0,MOVISTAR_EB97
1784298702396000000,120.023,-83,2467,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],56:82:00:c0:0d:05,N0KIA15
1784298702396000000,120.023,-93,5320,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],d8:fb:5e:ac:38:ae,MOVISTAR_PLUS_38A0
1784298702396000000,120.023,-89,5180,[WPA-PSK-TKIP][WPA2-PSK-TKIP][RSN-PSK-TKIP][ESS],34:fa:40:24:6e:59,(hidden SSID)
1784298702396000000,120.023,-93,5200,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],66:83:e7:b6:70:6f,ULLDEMOLINS BATET PACIENTS
1784298702396000000,120.023,-89,5500,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],86:78:71:8d:50:ce,MOVISTAR_50C0
1784298702396000000,120.023,-94,5260,[ESS],08:9e:84:eb:3f:40,INVITADOS-MPTMD
1784298702396000000,120.023,-95,5260,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],86:aa:9c:8c:57:d1,MOVISTAR_EF34
1784298702396000000,120.023,-95,5240,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],14:2e:5e:ab:f2:e1,vodafoneBA1241
1784298702396000000,120.023,-93,5540,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],ee:55:b8:59:e4:01,TVs
