time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.000,0.03181324,0.07897971,9.77321044,0.00060943,-0.00207997,0.00150090
10.000,-0.02727266,-0.01044334,9.82121080,0.00188113,-0.00390207,-0.00260373
20.000,0.00485089,0.03021540,9.75039067,0.00025568,-0.00063249,-0.00003235
30.000,0.01984268,-0.03711077,9.79948330,-0.00170609,0.00175880,0.00155747
40.000,0.08540068,-0.06991214,9.79267663,0.00013206,0.00225448,0.00093753
50.000,-0.06373229,0.00765340,9.85906165,-0.00171858,0.00073750,-0.00191462
60.000,0.00848276,-0.00583579,9.87307012,0.00175690,-0.00009985,-0.00036596
70.000,0.01652512,0.04097830,9.84241287,-0.00136186,0.00244508,-0.00030466
80.000,-0.14381202,-0.00383344,9.75274628,-0.00085666,-0.00070427,0.00106964
90.000,-0.04146584,0.07372931,9.78790972,0.00073089,0.00082547,0.00086730
100.000,0.09462841,-0.07038442,9.75246646,0.00428330,-0.00081283,-0.00101820
110.000,0.03811753,-0.01706858,9.82201637,-0.00162755,0.00123196,0.00226485
120.000,-0.00561534,-0.00712881,9.79143820,-0.00022789,-0.00168031,-0.00164142
130.000,0.00897467,0.03208191,9.88737111,0.00130119,0.00148651,0.00109447
140.000,-0.01012563,-0.01968191,9.78052692,-0.00133102,0.00046432,0.00024217
150.000,0.07348919,0.03451624,9.71169833,0.00043738,0.00174286,0.00045661
160.000,-0.09715604,-0.04150289,9.81815727,0.00135783,0.00013516,0.00058829
170.000,-0.00167351,0.02573893,9.79787783,0.00126258,-0.00291431,-0.00062867
180.000,0.06987094,0.03860557,9.81052883,-0.00094075,-0.00127776,-0.00053898
190.000,0.05726697,-0.08244531,9.80239626,0.00298988,-0.00173166,0.00194849
200.000,0.00687562,0.03010182,9.72089170,-0.00336574,-0.00066977,0.00033806
210.000,-0.01302035,0.02002304,9.83050811,0.00117244,0.00142245,0.00159988
220.000,0.05930649,0.03807527,9.80360770,-0.00069745,-0.00092470,0.00172976
230.000,0.03374869,-0.01006818,9.81398870,-0.00038261,-0.00255137,-0.00225214
240.000,0.03974012,-0.00226504,9.82474948,-0.00183890,0.00099432,0.00029992
250.000,0.04806544,0.03560824,9.86832359,0.00138097,-0.00085451,0.00033277
260.000,0.11642241,0.03514639,9.78358537,0.00125118,-0.00061869,0.00092987
270.000,0.02559115,0.02344092,9.83732553,-0.00132385,-0.00072611,-0.00074653
280.000,0.07475081,-0.08420558,9.88234190,-0.00239168,0.00097394,-0.00092123
290.000,0.09252084,0.02840353,9.83625675,0.00002499,0.00096149,0.00091126
300.000,-0.01208224,0.00031620,9.84154761,0.00133077,-0.00019697,-0.00082777
310.000,0.03167762,0.03603549,9.83798343,-0.00015944,-0.00337467,-0.00287478
320.000,0.04491950,0.03933243,9.75543257,-0.00264540,-0.00199449,0.00081962
330.000,0.04161340,0.09292933,9.80531866,-0.00181096,-0.00075633,0.00261915
340.000,0.07497400,-0.04586476,9.80516187,-0.00071253,0.00147503,-0.00184591
350.000,-0.03205791,0.06896106,9.88867383,-0.00041088,-0.00190004,-0.00065612
360.000,-0.00495981,0.05855308,9.88918133,0.00168062,-0.00345464,0.00089142
370.000,-0.00164594,0.00648758,9.84333077,0.00047547,-0.00118830,-0.00286892
380.000,-0.04212690,0.00550488,9.91378936,0.00014426,-0.00105899,0.00048917
390.000,-0.02500068,0.04269131,9.83284022,0.00004370,0.00320356,-0.00045427
400.000,-0.00818830,0.01108275,9.89428100,-0.00204699,0.00035855,0.00046506
410.000,0.02767986,0.03549093,9.88669311,0.00271838,0.00167022,0.00073943
