time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,0.000002,0.149996,-0.000001,0.000259,24.999382,-0.000367,-0.000000,-0.000014,1.570803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,-0.000003,-0.249996,0.000004,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149996,1,0
10000,0.000005,0.399299,0.023769,0.000486,24.999100,-0.000841,0.000004,-0.000025,1.570810,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000420,-0.000006,-0.002409,0.063410,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001721,3,0
20000,0.000009,0.650780,0.026621,0.000661,24.998766,-0.001208,0.000006,-0.000033,1.570808,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000019,-0.000011,0.006718,0.010501,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005225,3,0
30000,0.000014,0.877937,0.030571,0.000844,24.997873,-0.001569,0.000006,-0.000054,1.570810,0.000002,-0.000000,-0.000001,0.000000,0.000000,0.000000,0.002192,-0.000017,-0.125485,0.018503,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.102660,3,0
40000,0.000020,1.131771,0.032977,0.000969,24.997602,-0.002031,0.000009,-0.000071,1.570807,0.000001,-0.000000,-0.000001,0.000000,0.000000,0.000000,0.000115,-0.000024,0.025065,0.013746,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021206,3,0
50000,0.000027,1.380396,0.035085,0.001138,24.997252,-0.002326,0.000016,-0.000083,1.570815,0.000002,-0.000000,-0.000001,0.000000,0.000000,0.000000,0.000043,-0.000031,-0.010099,0.014198,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008751,3,0
60000,0.000035,1.639703,0.035638,0.001225,24.997316,-0.002759,0.000027,-0.000095,1.570813,-0.000003,-0.000000,-0.000002,0.000000,-0.000000,-0.000000,0.000926,-0.000039,0.079222,0.004447,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069884,3,0
70000,0.000044,1.889548,0.039895,0.001472,24.996933,-0.002884,0.000028,-0.000112,1.570808,-0.000003,-0.000000,-0.000005,0.000000,-0.000000,-0.000000,0.000203,-0.000050,-0.001175,0.037085,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001052,3,0
80000,0.000055,2.138322,0.036892,0.001643,24.996468,-0.003684,0.000031,-0.000124,1.570812,-0.000002,-0.000000,-0.000002,0.000000,-0.000000,-0.000000,0.000146,-0.000061,-0.012470,-0.028607,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011278,3,0
90000,0.000067,2.391512,0.033899,0.001864,24.996408,-0.004481,0.000034,-0.000146,1.570817,-0.000006,-0.000000,0.000002,0.000000,-0.000000,-0.000000,0.000356,-0.000074,0.036945,-0.031333,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033715,3,0
100000,0.000081,2.641668,0.034790,0.002054,24.996065,-0.004643,0.000040,-0.000158,1.570820,-0.000007,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000019,-0.000088,0.002423,0.010882,0.483303,0.483303,0.517162,1.006301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002229,3,0
110000,0.000095,2.899851,0.035090,0.002222,24.996798,-0.004911,0.000046,-0.000170,1.570825,-0.000027,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.001872,-0.000103,0.110092,0.004390,0.448353,0.448353,0.477121,1.006754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101865,3,0
120000,0.000111,3.146420,0.036434,0.002382,24.995890,-0.005180,0.000043,-0.000200,1.570830,-0.000016,-0.000000,-0.000004,0.000000,-0.000000,-0.000000,0.000423,-0.000119,-0.048705,0.018930,0.418358,0.418358,0.443071,1.007150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045309,3,0
130000,0.000128,3.393965,0.038049,0.002625,24.995028,-0.005328,0.000054,-0.000210,1.570836,-0.000007,-0.000000,-0.000010,0.000000,-0.000000,-0.000000,0.000303,-0.000137,-0.036837,0.024243,0.392369,0.392369,0.413797,1.007481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034428,3,0
140000,0.000146,3.648437,0.034826,0.002740,24.995596,-0.006187,0.000059,-0.000224,1.570828,-0.000029,-0.000000,0.000004,0.000000,-0.000000,-0.000000,0.001217,-0.000155,0.073446,-0.048938,0.369666,0.369666,0.388393,1.007739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068921,3,0
150000,0.000166,3.900583,0.036134,0.003003,24.995823,-0.006274,0.000056,-0.000227,1.570817,-0.000041,-0.000000,-0.000004,0.000000,-0.000001,-0.000000,0.000302,-0.000176,0.037636,0.022521,0.349695,0.349695,0.366172,1.007915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035443,3,0
160000,0.000186,4.152967,0.038618,0.003092,24.996063,-0.006280,0.000069,-0.000229,1.570811,-0.000058,-0.000000,-0.000020,0.000000,-0.000001,-0.000000,0.000610,-0.000197,0.043914,0.044183,0.332020,0.332020,0.346600,1.008002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041484,3,0
170000,0.000207,4.405558,0.038313,0.003247,24.996445,-0.006904,0.000080,-0.000231,1.570800,-0.000079,-0.000000,-0.000018,0.000000,-0.000002,-0.000000,0.000397,-0.000218,0.049953,-0.004306,0.316297,0.316297,0.329260,1.007991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047320,3,0
180000,0.000230,4.659329,0.036122,0.003510,24.997288,-0.007876,0.000081,-0.000244,1.570797,-0.000115,-0.000001,0.000001,0.000000,-0.000002,-0.000000,0.001165,-0.000242,0.075664,-0.040512,0.302246,0.302246,0.313817,1.007875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071853,3,0
190000,0.000254,4.917014,0.035237,0.003747,24.999704,-0.008468,0.000082,-0.000237,1.570793,-0.000200,-0.000001,0.000009,0.000000,-0.000005,-0.000000,0.004093,-0.000267,0.159825,-0.016054,0.289640,0.289640,0.300003,1.007645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.152110,3,0
