time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,0.000000,0.150004,-0.000002,0.000064,25.000652,-0.000423,-0.000009,0.000004,1.570779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,-0.000001,-0.250009,0.000004,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150004,1,0
10000,0.000002,0.353881,0.010677,0.000217,25.001217,-0.000977,-0.000016,0.000009,1.570772,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.003188,-0.000003,-0.161472,0.028503,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115334,3,0
20000,0.000004,0.580135,0.010948,0.000282,25.001810,-0.001484,-0.000014,0.000022,1.570762,0.000001,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.001482,-0.000005,-0.106929,0.001049,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083162,3,0
30000,0.000007,0.834642,-0.003113,0.000475,25.002794,-0.002111,-0.000012,0.000020,1.570758,0.000001,-0.000000,0.000001,-0.000000,0.000000,0.000000,0.000645,-0.000008,0.024632,-0.065515,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020151,3,0
40000,0.000011,1.082951,-0.012370,0.000610,25.003504,-0.002683,-0.000022,0.000026,1.570736,0.000001,-0.000000,0.000002,-0.000000,0.000000,0.000000,0.000393,-0.000013,-0.011216,-0.052284,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009489,3,0
50000,0.000015,1.316923,-0.012750,0.000632,25.003757,-0.003152,-0.000016,0.000021,1.570725,0.000006,-0.000000,0.000002,-0.000000,0.000000,0.000000,0.002094,-0.000017,-0.120381,-0.002326,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104310,3,0
60000,0.000020,1.558004,-0.016992,0.000732,25.004072,-0.003675,-0.000014,0.000029,1.570715,0.000011,-0.000000,0.000004,-0.000000,0.000000,0.000000,0.001001,-0.000022,-0.076050,-0.032205,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067085,3,0
70000,0.000026,1.801856,-0.011826,0.000903,25.004547,-0.003923,-0.000021,0.000027,1.570695,0.000016,-0.000000,0.000001,0.000000,0.000000,0.000000,0.000813,-0.000029,-0.058709,0.045037,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052512,3,0
80000,0.000033,2.049590,-0.014225,0.001082,25.005178,-0.004702,-0.000025,0.000035,1.570677,0.000018,-0.000000,0.000003,0.000000,0.000000,0.000000,0.000166,-0.000036,-0.024261,-0.022676,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021941,3,0
90000,0.000041,2.307153,-0.010541,0.001243,25.006784,-0.004783,-0.000036,0.000040,1.570667,0.000007,-0.000000,-0.000002,0.000000,0.000000,0.000000,0.001358,-0.000045,0.085819,0.039675,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078317,3,0
100000,0.000051,2.561008,-0.014921,0.001372,25.008192,-0.005812,-0.000031,0.000054,1.570655,-0.000000,-0.000000,0.000006,0.000000,-0.000000,-0.000000,0.000721,-0.000055,0.046908,-0.050198,0.483303,0.483303,0.517162,1.006302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043130,3,0
110000,0.000061,2.817915,-0.017164,0.001522,25.009974,-0.006591,-0.000035,0.000054,1.570647,-0.000017,-0.000000,0.000011,0.000000,-0.000000,-0.000000,0.001399,-0.000066,0.091223,-0.027409,0.448353,0.448353,0.477121,1.006754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.084407,3,0
120000,0.000072,3.070331,-0.016936,0.001605,25.011286,-0.006976,-0.000030,0.000055,1.570626,-0.000024,-0.000000,0.000010,0.000000,-0.000000,-0.000000,0.000172,-0.000077,0.033087,0.004033,0.418358,0.418358,0.443071,1.007151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030780,3,0
130000,0.000083,3.325609,-0.019887,0.001682,25.013109,-0.007862,-0.000027,0.000070,1.570624,-0.000044,-0.000000,0.000020,0.000000,-0.000001,-0.000000,0.001238,-0.000089,0.078842,-0.041715,0.392369,0.392369,0.413797,1.007482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073686,3,0
140000,0.000095,3.580799,-0.020307,0.001795,25.015081,-0.008438,-0.000023,0.000072,1.570609,-0.000069,-0.000000,0.000022,0.000000,-0.000001,-0.000000,0.001055,-0.000101,0.081972,-0.005205,0.369666,0.369666,0.388393,1.007740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076922,3,0
150000,0.000106,3.833606,-0.018562,0.001812,25.016537,-0.008523,-0.000023,0.000077,1.570589,-0.000084,-0.000000,0.000012,0.000000,-0.000002,-0.000000,0.000465,-0.000113,0.045430,0.030064,0.349695,0.349695,0.366172,1.007917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042783,3,0
160000,0.000119,4.088804,-0.020993,0.002000,25.018675,-0.009749,-0.000019,0.000097,1.570570,-0.000118,-0.000000,0.000027,0.000000,-0.000002,-0.000000,0.001555,-0.000126,0.090793,-0.040488,0.332020,0.332020,0.346600,1.008004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.085769,3,0
170000,0.000133,4.345004,-0.018530,0.002161,25.021406,-0.009616,-0.000021,0.000111,1.570552,-0.000167,-0.000000,0.000007,0.000000,-0.000003,-0.000000,0.002392,-0.000141,0.113877,0.046755,0.316297,0.316297,0.329260,1.007993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107874,3,0
180000,0.000148,4.601073,-0.020296,0.002202,25.024088,-0.010437,-0.000026,0.000123,1.570539,-0.000222,-0.000000,0.000022,0.000000,-0.000005,-0.000000,0.002293,-0.000155,0.116078,-0.031857,0.302245,0.302245,0.313817,1.007877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110231,3,0
