t_ms,gps_outage,constant_vel,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_y,k_z,k_max,nis,dx_vel_n,dx_vel_e,dx_vel_d,dx_att_x,dx_att_y,dx_att_z,dx_vel_norm,dx_att_norm,dx_pos_norm,nhc_count
10000,1,1,-0.001362,25.794472,-0.005643,90.777672,25.789196,-0.348144,-0.388364,0.348144,0.388364,0.521566,0.038753,0.184664,0.184664,0.044402,-0.000194,-0.071643,0.009505,-0.000122,-0.014637,0.013457,0.072271,0.019883,0.032458,1
10010,1,1,-0.001803,25.721581,0.003900,91.551590,25.701145,-0.693186,-0.755314,0.693186,0.755314,1.025186,0.271359,0.655228,0.655228,63.567375,-0.363182,-0.299593,0.028946,-0.064131,-0.020321,0.004241,0.471694,0.067407,0.236285,2
10020,1,1,-0.368796,25.417053,0.032637,91.837036,25.386032,-0.363664,-1.257307,0.363664,1.257307,1.308844,0.512235,1.187940,1.187940,132.564438,-1.373331,-0.602596,0.026896,0.004961,-0.033844,-0.046134,1.499961,0.057432,0.918175,3
10030,1,1,-1.751886,24.803814,0.058674,89.316879,24.693567,2.165693,-1.959438,-2.165693,1.959438,2.920552,0.438514,1.413284,1.413284,375.435242,3.044904,-1.561710,0.363968,0.439181,-0.020872,0.046520,3.441344,0.442131,1.756083,4
10040,1,1,1.312118,23.221245,0.421238,91.712555,23.069397,-2.670657,-1.340086,2.670657,1.340086,2.988016,0.983680,1.441316,1.441316,241.081848,1.399921,-0.766270,2.660906,-0.103330,0.089060,0.101541,3.102800,0.170057,2.321488,5
10050,1,1,2.735963,22.431879,3.082581,98.829544,21.893141,-5.501338,3.256167,5.501338,-3.256167,6.392757,0.998563,1.195504,1.195504,2035.679688,-1.967251,-9.386191,-1.614167,-0.050604,0.042812,0.014118,9.725029,0.067771,6.094901,6
10060,1,1,0.787658,12.986452,1.469761,100.193611,12.672460,-2.769664,1.779404,2.769664,-1.779404,3.292009,0.983331,1.503338,1.503338,381.994202,-3.130164,-2.847598,-2.461366,-0.143909,-0.089694,-0.102740,4.895412,0.198268,3.129757,7
10070,1,1,-2.348439,10.062986,-0.997982,93.696220,10.046178,1.555896,-2.104357,-1.555896,2.104357,2.617085,0.716147,1.218926,1.218926,490.040161,1.733448,-3.197184,1.447718,0.153416,0.042557,0.034876,3.914424,0.162984,2.516854,8
10080,1,1,-0.602923,6.776071,0.447780,96.028343,6.816599,-0.104176,0.047781,0.104176,-0.047781,0.114611,0.653824,0.855709,0.855709,0.838380,-0.083267,-0.020051,-0.023663,-0.002419,-0.001319,-0.003590,0.088856,0.004525,0.052548,9
10090,1,1,-0.674914,6.665879,0.422056,95.817955,6.713238,-0.005168,-0.003647,0.005168,0.003647,0.006325,0.458272,0.542350,0.542350,0.004393,-0.001727,0.000342,0.002602,-0.000089,0.000050,-0.000051,0.003141,0.000114,0.001823,10
