t_ms,gps_outage,constant_vel,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_y,k_z,k_max,nis,dx_vel_n,dx_vel_e,dx_vel_d,dx_att_x,dx_att_y,dx_att_z,dx_vel_norm,dx_att_norm,dx_pos_norm,nhc_count
10000,1,1,-0.000001,25.795362,-0.005402,90.000008,25.793535,-0.000002,-0.307073,0.000002,0.307073,0.307073,0.038751,0.184585,0.184585,0.027734,-0.000000,-0.056681,0.007545,-0.000000,-0.011578,0.000000,0.057181,0.011578,0.025669,1
10010,1,1,-0.000001,25.737484,0.002115,90.000008,25.730539,-0.000004,-0.597789,0.000004,0.597789,0.597789,0.223034,0.255421,0.255421,29.378733,-0.000002,-0.152688,0.028975,-0.000000,-0.017194,0.000000,0.155413,0.017194,0.087649,2
10020,1,1,-0.000003,25.581432,0.031045,90.000008,25.561646,-0.000002,-1.006425,0.000002,1.006425,1.006425,0.444658,0.384041,0.444658,87.292709,-0.000007,-0.386509,0.076324,0.000000,-0.027293,-0.000000,0.393972,0.027293,0.233614,3
10030,1,1,-0.000010,25.186996,0.107170,89.999992,25.136120,0.000012,-1.603668,-0.000012,1.603668,1.603668,0.673143,0.598531,0.673143,224.167587,0.000041,-0.959845,0.218992,0.000007,-0.038611,0.000001,0.984510,0.038611,0.600444,4
10040,1,1,0.000031,24.210497,0.325347,90.000053,24.107288,-0.000066,-2.256704,0.000066,2.256704,2.256704,0.791630,0.862520,0.862520,454.154724,0.000150,-1.946453,0.691853,-0.000020,-0.035601,0.000009,2.065754,0.035601,1.300959,5
10050,1,1,0.000181,22.233252,1.015080,90.000549,22.151588,-0.000369,-2.157533,0.000369,2.157533,2.157533,1.187690,0.896172,1.187690,437.583252,-0.003038,-1.933521,1.441576,-0.000352,0.002322,-0.000091,2.411774,0.002350,1.615688,6
10060,1,1,-0.002885,20.256605,2.454570,89.995285,20.400589,0.004698,-0.413501,-0.004698,0.413501,0.413528,1.830054,0.897375,1.830054,17.805143,0.007114,-0.078337,0.371067,0.001327,0.003556,0.000145,0.379312,0.003798,0.274203,7
10070,1,1,0.004285,20.134138,2.823932,90.003685,20.331186,-0.005549,0.032222,0.005549,-0.032222,0.032697,0.950790,0.359721,0.950790,0.116562,-0.005856,0.000157,-0.011570,-0.000678,0.000580,-0.000125,0.012969,0.000901,0.007854,8
10080,1,1,-0.001570,20.090204,2.810654,89.996490,20.285843,0.002807,0.027435,-0.002807,-0.027435,0.027578,0.542412,0.188628,0.542412,0.084705,0.001618,0.000581,-0.005174,0.000159,0.000717,0.000008,0.005452,0.000734,0.002607,9
10090,1,1,0.000064,20.046734,2.803779,89.996964,20.241831,0.001011,0.031717,-0.001011,-0.031717,0.031733,0.358988,0.141504,0.358988,0.113096,0.000326,0.000723,-0.004488,0.000039,0.000902,-0.000009,0.004558,0.000903,0.001678,10
10100,1,1,0.000408,20.003460,2.797605,89.996475,20.198103,0.000844,0.040406,-0.000844,-0.040406,0.040414,0.270010,0.129696,0.270010,0.183930,0.000187,0.000764,-0.005241,0.000022,0.001175,-0.000011,0.005299,0.001175,0.001738,11
10110,1,1,0.000614,19.960312,2.790707,89.995834,20.154385,0.000865,0.053848,-0.000865,-0.053848,0.053855,0.226532,0.128384,0.226532,0.327368,0.000155,0.000604,-0.006913,0.000015,0.001574,-0.000013,0.006942,0.001574,0.002262,12
10120,1,1,0.000791,19.917126,2.782179,89.995094,20.110371,0.000953,0.073679,-0.000953,-0.073679,0.073686,0.206292,0.130843,0.206292,0.614211,0.000152,-0.000063,-0.009641,0.000013,0.002153,-0.000015,0.009642,0.002153,0.003338,13
10130,1,1,0.000965,19.873459,2.770989,89.994247,20.065451,0.001088,0.102513,-0.001088,-0.102513,0.102518,0.198629,0.135635,0.198629,1.191576,0.000161,-0.001942,-0.013905,0.000012,0.002987,-0.000018,0.014040,0.002987,0.005454,14
10140,1,1,0.001149,19.828178,2.755633,89.993271,20.018229,0.001261,0.144039,-0.001261,-0.144039,0.144045,0.198679,0.143123,0.198679,2.357753,0.000173,-0.006568,-0.020616,0.000012,0.004173,-0.000021,0.021637,0.004173,0.009783,15
10150,1,1,0.001347,19.778643,2.733705,89.992134,19.965637,0.001485,0.203134,-0.001485,-0.203134,0.203139,0.204895,0.154744,0.204895,4.700416,0.000188,-0.017147,-0.031434,0.000013,0.005824,-0.000026,0.035807,0.005824,0.018823,16
10160,1,1,0.001561,19.719040,2.701152,89.990799,19.901136,0.001774,0.285521,-0.001774,-0.285521,0.285526,0.218149,0.173178,0.218149,9.311601,0.000203,-0.039949,-0.049446,0.000013,0.008028,-0.000031,0.063568,0.008028,0.037503,17
10170,1,1,0.001791,19.637295,2.650844,89.989227,19.811451,0.002143,0.395983,-0.002143,-0.395983,0.395989,0.241724,0.216792,0.241724,17.971741,0.000226,-0.085847,-0.080366,0.000011,0.010724,-0.000038,0.117595,0.010724,0.074601,18
10180,1,1,0.002046,19.510439,2.569933,89.987366,19.671755,0.002588,0.532710,-0.002588,-0.532710,0.532716,0.281454,0.316769,0.316769,32.685051,0.000288,-0.168748,-0.133652,0.000007,0.013415,-0.000043,0.215265,0.013415,0.142379,19
10190,1,1,0.002364,19.301483,2.436077,89.985306,19.442926,0.003016,0.674089,-0.003016,-0.674089,0.674096,0.344170,0.430247,0.430247,52.747318,0.000450,-0.290028,-0.218633,0.000007,0.014764,-0.000041,0.363203,0.014764,0.246328,20
10200,1,1,0.002848,18.971828,2.217517,89.983391,19.085838,0.003142,0.760498,-0.003142,-0.760498,0.760505,0.429747,0.521512,0.521512,68.013229,0.000655,-0.396612,-0.320468,0.000032,0.012979,-0.000028,0.509903,0.012979,0.352025,21
10210,1,1,0.003541,18.535749,1.897209,89.982208,18.619110,0.002697,0.708736,-0.002697,-0.708736,0.708741,0.511453,0.526673,0.526673,60.267784,0.000422,-0.373274,-0.359871,0.000072,0.008640,-0.000025,0.518499,0.008640,0.362838,22
10220,1,1,0.004005,18.122940,1.537395,89.981033,18.180429,0.002388,0.525899,-0.002388,-0.525899,0.525905,0.529423,0.512760,0.529423,34.010391,0.000032,-0.221885,-0.269662,0.000018,0.005904,-0.000044,0.349214,0.005904,0.244954,23
10230,1,1,0.004081,17.861660,1.267703,89.978691,17.902775,0.002849,0.369803,-0.002849,-0.369803,0.369814,0.469917,0.424190,0.469917,17.153542,0.000715,-0.112712,-0.156868,-0.000058,0.005744,-0.000026,0.193164,0.005744,0.132446,24
10240,1,1,0.004840,17.709915,1.110841,89.977341,17.741913,0.002390,0.315738,-0.002390,-0.315738,0.315747,0.400157,0.334894,0.400157,12.647357,0.001128,-0.080639,-0.105739,0.000020,0.006402,0.000008,0.132984,0.006402,0.088284,25
10250,1,1,0.006019,17.590698,1.005224,89.977951,17.616463,0.000986,0.321589,-0.000986,-0.321589,0.321591,0.357221,0.292017,0.357221,13.215014,0.000364,-0.083476,-0.093910,0.000108,0.007281,0.000003,0.125648,0.007281,0.082759,26
10260,1,1,0.006441,17.469143,0.911596,89.978317,17.489344,0.000469,0.353487,-0.000469,-0.353487,0.353487,0.341284,0.292947,0.341284,16.065395,-0.000683,-0.103553,-0.101028,0.000065,0.008130,-0.000042,0.144673,0.008131,0.096638,27
10270,1,1,0.005816,17.328022,0.811032,89.976151,17.342560,0.001753,0.392057,-0.001753,-0.392057,0.392061,0.346070,0.338981,0.346070,19.892656,-0.000587,-0.132901,-0.118520,-0.000079,0.008645,-0.000071,0.178074,0.008646,0.121193,28
10280,1,1,0.005279,17.158022,0.693156,89.972404,17.166870,0.003338,0.420494,-0.003338,-0.420494,0.420507,0.364730,0.382258,0.382258,23.060986,0.001065,-0.160742,-0.139329,-0.000121,0.008542,-0.000016,0.212724,0.008543,0.147009,29
10290,1,1,0.006396,16.960564,0.554625,89.971718,16.964336,0.002280,0.423947,-0.002280,-0.423947,0.423953,0.388251,0.406748,0.406748,23.659187,0.001940,-0.172441,-0.153463,0.000098,0.007799,0.000067,0.230848,0.007800,0.161135,30
10300,1,1,0.008403,16.751696,0.402075,89.975761,16.751804,-0.000992,0.397733,0.000992,-0.397733,0.397734,0.405249,0.402379,0.405249,21.043249,-0.000596,-0.160040,-0.151541,0.000290,0.006803,0.000008,0.220403,0.006809,0.154443,31
10310,1,1,0.007883,16.555473,0.251527,89.976463,16.553602,-0.000687,0.354060,0.000687,-0.354060,0.354061,0.407351,0.379489,0.407351,16.854063,-0.002835,-0.132589,-0.134361,0.000011,0.006033,-0.000138,0.188788,0.006035,0.131908,32
10320,1,1,0.005107,16.386957,0.118229,89.968758,16.384399,0.004179,0.312901,-0.004179,-0.312901,0.312929,0.395782,0.361213,0.395782,13.290964,0.000025,-0.106690,-0.113029,-0.000335,0.005641,-0.000103,0.155429,0.005652,0.107712,33
10330,1,1,0.005178,16.244629,0.006340,89.962997,16.242125,0.005537,0.285403,-0.005537,-0.285403,0.285456,0.378947,0.338819,0.378947,11.148113,0.003468,-0.090372,-0.096696,-0.000126,0.005512,0.000071,0.132398,0.005514,0.090939,34
10340,1,1,0.008707,16.118931,-0.089127,89.967125,16.116898,0.000717,0.271195,-0.000717,-0.271195,0.271196,0.364229,0.321936,0.364229,10.133650,0.001960,-0.082851,-0.087307,0.000291,0.005500,0.000112,0.120377,0.005509,0.082265,35
10350,1,1,0.010751,16.001078,-0.175107,89.973648,15.999842,-0.003137,0.265272,0.003137,-0.265272,0.265291,0.354695,0.313193,0.354695,9.756261,-0.001963,-0.080835,-0.083079,0.000284,0.005504,-0.000027,0.115932,0.005511,0.079237,36
10360,1,1,0.008874,15.885569,-0.256759,89.972298,15.885474,-0.000867,0.262677,0.000867,-0.262677,0.262679,0.350328,0.311123,0.350328,9.621842,-0.002715,-0.081276,-0.081723,-0.000088,0.005462,-0.000138,0.115291,0.005464,0.079059,37
10370,1,1,0.006225,15.769938,-0.336954,89.964569,15.771399,0.003823,0.259766,-0.003823,-0.259766,0.259794,0.349668,0.315154,0.349668,9.464778,0.000372,-0.081875,-0.081305,-0.000283,0.005348,-0.000073,0.115387,0.005356,0.079467,38
10380,1,1,0.006653,15.654016,-0.416634,89.960510,15.657493,0.004354,0.254477,-0.004354,-0.254477,0.254514,0.350838,0.318725,0.350838,9.135935,0.002733,-0.081116,-0.080439,-0.000060,0.005167,0.000064,0.114270,0.005167,0.078982,39
10390,1,1,0.009456,15.539144,-0.495355,89.964218,15.545090,0.000446,0.246309,-0.000446,-0.246309,0.246309,0.352132,0.318585,0.352132,8.606900,0.001271,-0.078470,-0.078437,0.000225,0.004944,0.000079,0.110957,0.004950,0.076844,40
10400,1,1,0.010814,15.427196,-0.571989,89.968842,15.435997,-0.002181,0.235924,0.002181,-0.235924,0.235934,0.352431,0.318915,0.352431,7.941193,-0.001484,-0.074264,-0.075238,0.000185,0.004713,-0.000026,0.105726,0.004717,0.073243,41
10410,1,1,0.009416,15.319723,-0.645344,89.967445,15.331669,-0.000440,0.224575,0.000440,-0.224575,0.224575,0.351370,0.317405,0.351370,7.234523,-0.001704,-0.069274,-0.071281,-0.000059,0.004497,-0.000090,0.099412,0.004498,0.068784,42
10420,1,1,0.007786,15.217503,-0.714665,89.962379,15.232780,0.002450,0.213414,-0.002450,-0.213414,0.213428,0.349183,0.314511,0.349183,6.567642,0.000243,-0.064273,-0.067123,-0.000150,0.004305,-0.000044,0.092933,0.004307,0.064166,43
10430,1,1,0.008100,15.120540,-0.779756,89.959946,15.139273,0.002675,0.203139,-0.002675,-0.203139,0.203157,0.346381,0.311046,0.346381,5.979853,0.001366,-0.059725,-0.063185,-0.000027,0.004137,0.000024,0.086956,0.004137,0.059894,44
10440,1,1,0.009543,15.028378,-0.840839,89.961357,15.050637,0.000784,0.193974,-0.000784,-0.193974,0.193975,0.343474,0.307680,0.343474,5.477509,0.000654,-0.055797,-0.059682,0.000093,0.003987,0.000029,0.081705,0.003988,0.056149,45
10450,1,1,0.010281,14.940392,-0.898351,89.963074,14.966228,-0.000453,0.185804,0.000453,-0.185804,0.185805,0.340811,0.304798,0.340811,5.048028,-0.000421,-0.052443,-0.056633,0.000078,0.003849,-0.000008,0.077186,0.003850,0.052943,46
10460,1,1,0.009946,14.856006,-0.952749,89.962654,14.885463,-0.000057,0.178386,0.000057,-0.178386,0.178386,0.338553,0.302499,0.338553,4.672627,-0.000583,-0.049523,-0.053962,0.000002,0.003717,-0.000031,0.073245,0.003717,0.050161,47
10470,1,1,0.009446,14.774778,-1.004413,89.960953,14.807892,0.000823,0.171474,-0.000823,-0.171474,0.171476,0.336712,0.300713,0.336712,4.334982,-0.000079,-0.046893,-0.051565,-0.000031,0.003589,-0.000022,0.069699,0.003589,0.047669,48
10480,1,1,0.009448,14.696415,-1.053619,89.959732,14.733214,0.001063,0.164876,-0.001063,-0.164876,0.164880,0.335220,0.299292,0.335220,4.023406,0.000277,-0.044439,-0.049346,-0.000009,0.003463,-0.000004,0.066408,0.003463,0.045361,49
10490,1,1,0.009807,14.620734,-1.100549,89.959511,14.661244,0.000701,0.158480,-0.000701,-0.158480,0.158482,0.333983,0.298097,0.333983,3.731130,0.000210,-0.042092,-0.047243,0.000018,0.003338,0.000001,0.063274,0.003338,0.043162,50
10500,1,1,0.010103,14.547623,-1.145320,89.959587,14.591847,0.000332,0.152229,-0.000332,-0.152229,0.152230,0.332917,0.297020,0.332917,3.454992,-0.000006,-0.039818,-0.045215,0.000023,0.003215,-0.000004,0.060249,0.003215,0.041036,51
