t_ms,gps_outage,constant_vel,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_y,k_z,k_max,nis,dx_vel_n,dx_vel_e,dx_vel_d,dx_att_x,dx_att_y,dx_att_z,dx_vel_norm,dx_att_norm,dx_pos_norm,nhc_count
0,0,1,-0.000001,25.000000,0.000000,90.000008,25.000004,0.000001,0.000000,-0.000001,-0.000000,0.000001,0.049890,0.173415,0.173415,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1
10,0,1,-0.000001,24.999750,0.000000,90.000008,24.999754,0.000001,0.000000,-0.000001,-0.000000,0.000001,0.091055,0.201690,0.201690,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,2
20,0,1,-0.000001,24.999102,-0.000032,90.000008,24.999105,0.000001,-0.000065,-0.000001,0.000065,0.000065,0.137414,0.236975,0.236975,0.000000,0.000000,-0.000000,0.000003,0.000000,-0.000002,-0.000000,0.000003,0.000002,0.000000,3
30,0,1,-0.000001,24.997564,-0.000064,90.000008,24.997568,0.000001,-0.000184,-0.000001,0.000184,0.000184,0.152511,0.229915,0.229915,0.000003,0.000000,-0.000000,0.000009,0.000000,-0.000005,-0.000000,0.000009,0.000005,0.000000,4
40,0,1,-0.000001,24.994942,-0.000197,90.000008,24.994946,0.000001,-0.000611,-0.000001,0.000611,0.000611,0.152086,0.215741,0.215741,0.000031,0.000000,-0.000001,0.000030,0.000000,-0.000018,-0.000000,0.000030,0.000018,0.000000,5
50,0,1,-0.000001,24.991344,-0.000264,90.000008,24.991348,0.000001,-0.001277,-0.000001,0.001277,0.001277,0.145574,0.201792,0.201792,0.000136,0.000000,-0.000003,0.000066,0.000000,-0.000038,-0.000000,0.000066,0.000038,0.000000,6
60,0,1,-0.000001,24.986595,-0.000282,90.000008,24.986599,0.000001,-0.002438,-0.000001,0.002438,0.002438,0.137329,0.189290,0.189290,0.000498,0.000000,-0.000011,0.000132,0.000000,-0.000072,-0.000000,0.000132,0.000072,0.000001,7
70,0,1,-0.000001,24.980629,-0.000412,90.000008,24.980633,0.000001,-0.004861,-0.000001,0.004861,0.004861,0.129120,0.178265,0.178265,0.001988,0.000000,-0.000042,0.000276,0.000000,-0.000143,-0.000000,0.000280,0.000143,0.000002,8
80,0,1,-0.000001,24.972153,-0.000109,90.000008,24.972157,0.000001,-0.008549,-0.000001,0.008549,0.008549,0.121575,0.168606,0.168606,0.006172,0.000000,-0.000125,0.000540,0.000000,-0.000248,-0.000000,0.000555,0.000248,0.000008,9
90,0,1,-0.000000,24.961258,0.000112,90.000000,24.961254,0.000000,-0.015672,-0.000000,0.015672,0.015672,0.114925,0.160072,0.160072,0.020821,0.000000,-0.000417,0.001093,0.000000,-0.000451,-0.000000,0.001170,0.000451,0.000029,10
100,0,1,-0.000000,24.950445,0.001267,90.000008,24.950436,0.000000,-0.027173,-0.000000,0.027173,0.027173,0.109035,0.152277,0.152277,0.062800,0.000000,-0.001262,0.001869,0.000000,-0.000783,-0.000000,0.002255,0.000783,0.000083,11
110,0,1,-0.000000,24.939327,0.002777,90.000008,24.939285,0.000000,-0.048057,-0.000000,0.048057,0.048057,0.104101,0.145219,0.145219,0.197020,-0.000000,-0.003971,0.003209,-0.000000,-0.001387,-0.000000,0.005106,0.001387,0.000269,12
120,0,1,-0.000000,24.924643,0.006310,90.000000,24.924505,0.000000,-0.083049,-0.000000,0.083049,0.083049,0.100295,0.143121,0.143121,0.590094,-0.000000,-0.011886,0.006055,-0.000000,-0.002375,-0.000000,0.013339,0.002375,0.000862,13
130,0,1,-0.000000,24.901882,0.012603,90.000008,24.901478,0.000000,-0.142803,-0.000000,0.142803,0.142803,0.098084,0.246385,0.246385,1.749581,-0.000000,-0.035184,0.013075,-0.000000,-0.003971,-0.000000,0.037535,0.003971,0.002738,14
