t_ms,gps_outage,constant_vel,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_y,k_z,k_max,nis,dx_vel_n,dx_vel_e,dx_vel_d,dx_att_x,dx_att_y,dx_att_z,dx_vel_norm,dx_att_norm,dx_pos_norm,nhc_count
10000,1,1,-0.000001,25.795362,-0.005402,90.000008,25.793535,-0.000002,-0.307073,0.000002,0.307073,0.307073,0.038749,0.142714,0.142714,0.021443,-0.000000,-0.043824,0.005834,-0.000000,-0.008952,0.000000,0.044210,0.008952,0.019846,1
10010,1,1,-0.000001,25.750488,0.000403,90.000008,25.744991,-0.000002,-0.532142,0.000002,0.532142,0.532142,0.053754,0.082275,0.082275,0.159027,0.000000,-0.043782,0.005841,0.000000,-0.008800,0.000000,0.044170,0.008800,0.020118,2
10020,1,1,-0.000001,25.705158,0.006217,90.000000,25.694138,-0.000002,-0.752610,0.000002,0.752610,0.752610,0.097956,0.059013,0.097956,0.391714,0.000000,-0.044414,0.005993,0.000000,-0.008750,0.000000,0.044817,0.008750,0.020754,3
10030,1,1,-0.000000,25.658689,0.012183,90.000008,25.640316,-0.000002,-0.970927,0.000002,0.970927,0.970927,0.131594,0.046975,0.131594,0.716429,0.000000,-0.045610,0.006270,0.000000,-0.008777,0.000000,0.046039,0.008777,0.021710,4
10040,1,1,-0.000000,25.610500,0.018426,90.000000,25.582897,-0.000001,-1.188842,0.000001,1.188842,1.188842,0.155776,0.039818,0.155776,1.133132,0.000000,-0.047337,0.006664,0.000000,-0.008866,0.000000,0.047804,0.008866,0.022982,5
10050,1,1,-0.000000,25.560034,0.025058,90.000008,25.521252,-0.000002,-1.407763,0.000002,1.407763,1.407763,0.172427,0.035232,0.172427,1.644045,0.000000,-0.049598,0.007168,0.000000,-0.009011,0.000000,0.050113,0.009011,0.024580,6
10060,1,1,-0.000000,25.506721,0.032188,90.000008,25.454678,-0.000001,-1.628892,0.000001,1.628892,1.628892,0.183602,0.032177,0.183602,2.253268,0.000000,-0.052413,0.007782,0.000000,-0.009209,0.000000,0.052987,0.009209,0.026526,7
10070,1,1,0.000000,25.449966,0.039921,90.000008,25.382433,-0.000002,-1.853275,0.000002,1.853275,1.853275,0.191081,0.030118,0.191081,2.966514,0.000000,-0.055816,0.008502,0.000000,-0.009454,0.000000,0.056460,0.009454,0.028849,8
10080,1,1,0.000001,25.389130,0.048358,90.000008,25.303684,-0.000003,-2.081825,0.000003,2.081825,2.081825,0.196221,0.028751,0.196221,3.790911,0.000000,-0.059854,0.009331,0.000000,-0.009744,0.000000,0.060577,0.009744,0.031586,9
10090,1,1,0.000001,25.323523,0.057600,90.000008,25.217522,-0.000005,-2.315336,0.000005,2.315336,2.315336,0.199974,0.027893,0.199974,4.734797,0.000001,-0.064581,0.010268,0.000000,-0.010076,0.000000,0.065392,0.010076,0.034782,10
10100,1,1,0.000002,25.252390,0.067747,90.000015,25.122952,-0.000009,-2.554471,0.000009,2.554471,2.554471,0.202963,0.027426,0.202963,5.807504,0.000001,-0.070058,0.011315,0.000000,-0.010448,0.000000,0.070966,0.010448,0.038485,11
10110,1,1,0.000003,25.174911,0.078897,90.000015,25.018871,-0.000011,-2.799760,0.000011,2.799760,2.799760,0.205569,0.027272,0.205569,7.019095,0.000001,-0.076355,0.012477,0.000000,-0.010856,0.000000,0.077368,0.010856,0.042753,12
10120,1,1,0.000004,25.090189,0.091153,90.000023,24.904093,-0.000018,-3.051577,0.000018,3.051577,3.051577,0.208005,0.027378,0.208005,8.380017,0.000002,-0.083546,0.013757,0.000001,-0.011297,0.000000,0.084671,0.011297,0.047647,13
10130,1,1,0.000006,24.997240,0.104613,90.000038,24.777330,-0.000030,-3.310127,0.000030,3.310127,3.310127,0.210366,0.027706,0.210366,9.900689,0.000003,-0.091710,0.015161,0.000001,-0.011767,0.000000,0.092955,0.011767,0.053232,14
10140,1,1,0.000009,24.894999,0.119382,90.000061,24.637201,-0.000045,-3.575411,0.000045,3.575411,3.575411,0.212671,0.028228,0.212671,11.590931,0.000005,-0.100927,0.016696,0.000001,-0.012261,0.000001,0.102298,0.012261,0.059578,15
10150,1,1,0.000014,24.782312,0.135565,90.000092,24.482246,-0.000072,-3.847206,0.000072,3.847206,3.847206,0.214894,0.028923,0.214894,13.459304,0.000008,-0.111273,0.018370,0.000002,-0.012774,0.000001,0.112779,0.012774,0.066755,16
10160,1,1,0.000022,24.657944,0.153271,90.000145,24.310942,-0.000113,-4.125023,0.000113,4.125023,4.125023,0.216976,0.029775,0.216976,15.512269,0.000012,-0.122823,0.020192,0.000004,-0.013299,0.000001,0.124472,0.013299,0.074834,17
10170,1,1,0.000034,24.520573,0.172614,90.000229,24.121714,-0.000177,-4.408081,0.000177,4.408081,4.408081,0.218843,0.030770,0.218843,17.753187,0.000018,-0.135638,0.022173,0.000006,-0.013828,0.000002,0.137438,0.013828,0.083881,18
10180,1,1,0.000053,24.368818,0.193711,90.000366,23.912998,-0.000272,-4.695267,0.000272,4.695267,4.695267,0.220415,0.031897,0.220415,20.181213,0.000027,-0.149764,0.024326,0.000008,-0.014352,0.000003,0.151727,0.014352,0.093953,19
10190,1,1,0.000081,24.201242,0.216687,90.000534,23.683241,-0.000416,-4.985111,0.000416,4.985111,4.985111,0.221611,0.033144,0.221611,22.790020,0.000039,-0.165225,0.026663,0.000013,-0.014862,0.000005,0.167362,0.014862,0.105095,20
10200,1,1,0.000121,24.016384,0.241671,90.000793,23.430994,-0.000634,-5.275760,0.000634,5.275760,5.275760,0.222358,0.034499,0.222358,25.566525,0.000055,-0.182011,0.029197,0.000019,-0.015345,0.000007,0.184338,0.015345,0.117332,21
10210,1,1,0.000179,23.812784,0.268799,90.001183,23.154961,-0.000958,-5.564962,0.000958,5.564962,5.564962,0.222588,0.035953,0.222588,28.489626,0.000075,-0.200076,0.031942,0.000028,-0.015788,0.000010,0.202609,0.015789,0.130665,22
10220,1,1,0.000258,23.589033,0.298211,90.001717,22.854063,-0.001422,-5.850073,0.001422,5.850073,5.850074,0.222240,0.037490,0.222240,31.529139,0.000096,-0.219322,0.034909,0.000041,-0.016180,0.000014,0.222083,0.016180,0.145060,23
10230,1,1,0.000360,23.343819,0.330054,90.002464,22.527529,-0.002074,-6.128075,0.002074,6.128075,6.128075,0.221263,0.039098,0.221263,34.645035,0.000111,-0.239598,0.038106,0.000058,-0.016505,0.000019,0.242609,0.016505,0.160444,24
10240,1,1,0.000479,23.075985,0.364474,90.003479,22.174986,-0.002956,-6.395628,0.002956,6.395628,6.395628,0.219608,0.040760,0.219608,37.787361,0.000107,-0.260689,0.041538,0.000078,-0.016750,0.000025,0.263977,0.016750,0.176697,25
10250,1,1,0.000597,22.784594,0.401616,90.004784,21.796515,-0.004093,-6.649143,0.004093,6.649143,6.649144,0.217224,0.042458,0.217224,40.896725,0.000065,-0.282313,0.045203,0.000102,-0.016901,0.000031,0.285909,0.016902,0.193649,26
10260,1,1,0.000678,22.468998,0.441619,90.006363,21.392738,-0.005469,-6.884882,0.005469,6.884882,6.884884,0.214053,0.044173,0.214053,43.905701,-0.000040,-0.304127,0.049092,0.000125,-0.016948,0.000037,0.308063,0.016949,0.211075,27
10270,1,1,0.000658,22.128910,0.484608,90.008224,20.964882,-0.007015,-7.099110,0.007015,7.099110,7.099113,0.210021,0.045882,0.210021,46.741493,-0.000235,-0.325724,0.053185,0.000145,-0.016881,0.000041,0.330037,0.016882,0.228702,28
10280,1,1,0.000448,21.764456,0.530689,90.010246,20.514748,-0.008575,-7.288228,0.008575,7.288228,7.288232,0.205031,0.047563,0.205031,49.329056,-0.000529,-0.346654,0.057454,0.000157,-0.016693,0.000043,0.351383,0.016694,0.246209,29
10290,1,1,-0.000052,21.376230,0.579938,90.012253,20.044765,-0.009919,-7.448954,0.009919,7.448954,7.448960,0.198961,0.049192,0.198961,51.595337,-0.000898,-0.366436,0.061856,0.000155,-0.016382,0.000041,0.371621,0.016383,0.263240,30
10300,1,1,-0.000918,20.965326,0.632393,90.014023,19.557898,-0.010800,-7.578485,0.010800,7.578485,7.578493,0.209639,0.050745,0.209639,53.473812,-0.001276,-0.384584,0.066339,0.000141,-0.015950,0.000036,0.390266,0.015950,0.279420,31
10310,1,1,-0.002160,20.533342,0.688048,90.015404,19.057575,-0.011042,-7.674661,0.011042,7.674661,7.674669,0.268957,0.052201,0.268957,54.909210,-0.001560,-0.400635,0.070841,0.000116,-0.015402,0.000030,0.406853,0.015402,0.294376,32
10320,1,1,-0.003687,20.082361,0.746840,90.016327,18.547565,-0.010626,-7.736070,0.010626,7.736070,7.736077,0.332716,0.053537,0.332716,55.861244,-0.001665,-0.414173,0.075292,0.000089,-0.014749,0.000024,0.420964,0.014749,0.307755,33
10330,1,1,-0.005321,19.614901,0.808651,90.016830,18.031845,-0.009723,-7.762140,0.009723,7.762140,7.762146,0.399483,0.054734,0.399483,56.307716,-0.001567,-0.424862,0.079621,0.000065,-0.014004,0.000020,0.432261,0.014004,0.319247,34
10340,1,1,-0.006860,19.133835,0.873302,90.017067,17.514418,-0.008611,-7.753154,0.008611,7.753154,7.753159,0.467254,0.055777,0.467254,56.245594,-0.001334,-0.432459,0.083752,0.000049,-0.013185,0.000018,0.440497,0.013185,0.328605,35
10350,1,1,-0.008169,18.642300,0.940555,90.017220,16.999189,-0.007521,-7.710224,0.007521,7.710224,7.710228,0.533505,0.056656,0.533505,55.690830,-0.001060,-0.436834,0.087617,0.000038,-0.012309,0.000017,0.445536,0.012309,0.335656,36
10360,1,1,-0.009205,18.143578,1.010118,90.017372,16.489798,-0.006565,-7.635209,0.006565,7.635209,7.635212,0.595384,0.057361,0.595384,54.676399,-0.000813,-0.437968,0.091152,0.000029,-0.011397,0.000017,0.447354,0.011397,0.340308,37
10370,1,1,-0.009995,17.640984,1.081653,90.017555,15.989516,-0.005749,-7.530593,0.005749,7.530593,7.530595,0.650023,0.057890,0.650023,53.249359,-0.000605,-0.435953,0.094304,0.000022,-0.010467,0.000016,0.446037,0.010467,0.342555,38
10380,1,1,-0.010578,17.137758,1.154780,90.017799,15.501166,-0.005051,-7.399342,0.005051,7.399342,7.399343,0.694924,0.058245,0.694924,51.467033,-0.000433,-0.430976,0.097032,0.000016,-0.009537,0.000016,0.441764,0.009537,0.342466,39
10390,1,1,-0.010989,16.636959,1.229097,90.018082,15.027077,-0.004453,-7.244738,0.004453,7.244738,7.244739,0.728316,0.058429,0.728316,49.392815,-0.000292,-0.423304,0.099308,0.000011,-0.008623,0.000016,0.434797,0.008623,0.340179,40
10400,1,1,-0.011259,16.141390,1.304183,90.018417,14.569056,-0.003939,-7.070224,0.003939,7.070224,7.070225,0.749387,0.058450,0.749387,47.092136,-0.000176,-0.413260,0.101118,0.000008,-0.007738,0.000015,0.425451,0.007738,0.335886,41
10410,1,1,-0.011413,15.653532,1.379614,90.018822,14.128421,-0.003496,-6.879269,0.003496,6.879269,6.879270,0.758326,0.058320,0.758326,44.629086,-0.000083,-0.401203,0.102459,0.000005,-0.006892,0.000015,0.414079,0.006892,0.329815,42
10420,1,1,-0.011473,15.175515,1.454975,90.019249,13.706009,-0.003114,-6.675226,0.003114,6.675226,6.675227,0.756191,0.058050,0.756191,42.063412,-0.000007,-0.387502,0.103341,0.000002,-0.006094,0.000014,0.401045,0.006094,0.322218,43
10430,1,1,-0.011456,14.709097,1.529865,90.019722,13.302263,-0.002782,-6.461266,0.002782,6.461266,6.461266,0.744645,0.057655,0.744645,39.448849,0.000053,-0.372524,0.103783,0.000001,-0.005348,0.000013,0.386711,0.005348,0.313352,44
10440,1,1,-0.011378,14.255670,1.603908,90.020226,12.917259,-0.002493,-6.240289,0.002493,6.240289,6.240290,0.725649,0.057147,0.725649,36.831760,0.000101,-0.356616,0.103810,-0.000000,-0.004657,0.000013,0.371419,0.004657,0.303474,45
10450,1,1,-0.011252,13.816278,1.676756,90.020744,12.550783,-0.002244,-6.014901,0.002244,6.014901,6.014901,0.701198,0.056542,0.701198,34.250835,0.000135,-0.340097,0.103452,-0.000001,-0.004024,0.000012,0.355483,0.004024,0.292824,46
10460,1,1,-0.011089,13.391644,1.748095,90.021294,12.202393,-0.002024,-5.787379,0.002024,5.787379,5.787380,0.673124,0.055854,0.673124,31.737053,0.000162,-0.323247,0.102744,-0.000002,-0.003446,0.000011,0.339183,0.003446,0.281623,47
10470,1,1,-0.010899,12.982207,1.817644,90.021843,11.871463,-0.001829,-5.559686,0.001829,5.559686,5.559686,0.642992,0.055095,0.642992,29.314240,0.000184,-0.306310,0.101722,-0.000002,-0.002922,0.000010,0.322758,0.002922,0.270069,48
10480,1,1,-0.010685,12.588157,1.885159,90.022354,11.557238,-0.001660,-5.333466,0.001660,5.333466,5.333466,0.612056,0.054278,0.612056,26.999758,0.000197,-0.289489,0.100422,-0.000002,-0.002450,0.000009,0.306413,0.002450,0.258334,49
10490,1,1,-0.010458,12.209476,1.950429,90.022888,11.258888,-0.001508,-5.110086,0.001508,5.110086,5.110086,0.581269,0.053414,0.581269,24.805439,0.000207,-0.272953,0.098880,-0.000002,-0.002026,0.000009,0.290311,0.002026,0.246563,50
10500,1,1,-0.010219,11.845975,2.013279,90.023415,10.975523,-0.001375,-4.890644,0.001375,4.890644,4.890644,0.551314,0.052515,0.551314,22.738388,0.000212,-0.256832,0.097130,-0.000002,-0.001647,0.000008,0.274585,0.001647,0.234878,51
10510,1,1,-0.009975,11.497328,2.073563,90.023941,10.706228,-0.001253,-4.676007,0.001253,4.676007,4.676007,0.522656,0.051588,0.522656,20.801861,0.000216,-0.241228,0.095204,-0.000001,-0.001310,0.000007,0.259335,0.001310,0.223377,52
10520,1,1,-0.009725,11.163103,2.131167,90.024414,10.450083,-0.001147,-4.466838,0.001147,4.466838,4.466838,0.495588,0.050643,0.495588,18.996088,0.000215,-0.226213,0.093132,-0.000001,-0.001010,0.000007,0.244634,0.001010,0.212137,53
10530,1,1,-0.009475,10.842790,2.186001,90.024879,10.206186,-0.001050,-4.263631,0.001050,4.263631,4.263631,0.470268,0.049685,0.470268,17.318991,0.000213,-0.211839,0.090940,-0.000001,-0.000745,0.000006,0.230534,0.000745,0.201217,54
10540,1,1,-0.009226,10.535822,2.237999,90.025322,9.973663,-0.000961,-4.066728,0.000961,4.066728,4.066728,0.446763,0.048721,0.446763,15.766719,0.000210,-0.198138,0.088653,-0.000000,-0.000510,0.000005,0.217067,0.000510,0.190661,55
10550,1,1,-0.008979,10.241597,2.287117,90.025764,9.751677,-0.000880,-3.876352,0.000880,3.876352,3.876352,0.425072,0.047757,0.425072,14.334193,0.000206,-0.185124,0.086294,0.000000,-0.000303,0.000005,0.204249,0.000303,0.180499,56
10560,1,1,-0.008735,9.959493,2.333329,90.026184,9.539422,-0.000808,-3.692620,0.000808,3.692620,3.692620,0.405146,0.046797,0.405146,13.015490,0.000200,-0.172802,0.083880,0.000001,-0.000120,0.000004,0.192085,0.000120,0.170750,57
10570,1,1,-0.008495,9.688880,2.376625,90.026581,9.336143,-0.000741,-3.515574,0.000741,3.515574,3.515574,0.386909,0.045843,0.386909,11.804212,0.000194,-0.161165,0.081429,0.000001,0.000041,0.000004,0.180568,0.000041,0.161424,58
10580,1,1,-0.008261,9.429131,2.417008,90.026955,9.141129,-0.000679,-3.345186,0.000679,3.345186,3.345186,0.370269,0.044900,0.370269,10.693686,0.000188,-0.150198,0.078955,0.000001,0.000182,0.000003,0.169686,0.000182,0.152525,59
10590,1,1,-0.008031,9.179628,2.454493,90.027298,8.953713,-0.000622,-3.181378,0.000622,3.181378,3.181378,0.355124,0.043969,0.355124,9.677195,0.000182,-0.139882,0.076470,0.000002,0.000305,0.000003,0.159420,0.000305,0.144049,60
10600,1,1,-0.007807,8.939773,2.489103,90.027649,8.773279,-0.000570,-3.024034,0.000570,3.024034,3.024034,0.341368,0.043053,0.341368,8.748102,0.000175,-0.130193,0.073985,0.000002,0.000413,0.000003,0.149747,0.000413,0.135989,61
