t_ms,gps_outage,vel_n,vel_e,vel_d,yaw_deg,vbx,vby,vbz,innov_y,innov_z,innov_norm,k_max,dx_vel,dx_att,dx_pos,nhc_count
0,0,-0.000001,25.000000,0.000000,90.000008,25.000004,0.000001,0.000000,-0.000001,-0.000000,0.000001,0.173415,0.000000,0.000000,0.000000,1
10,0,-0.000001,24.999750,0.000000,90.000008,24.999754,0.000001,0.000000,-0.000001,-0.000000,0.000001,0.201690,0.000000,0.000000,0.000000,2
20,0,-0.000001,24.999102,-0.000032,90.000008,24.999105,0.000001,-0.000065,-0.000001,0.000065,0.000065,0.236975,0.000003,0.000002,0.000000,3
30,0,-0.000001,24.997564,-0.000064,90.000008,24.997568,0.000001,-0.000184,-0.000001,0.000184,0.000184,0.229915,0.000009,0.000005,0.000000,4
40,0,-0.000001,24.994942,-0.000197,90.000008,24.994946,0.000001,-0.000611,-0.000001,0.000611,0.000611,0.215741,0.000030,0.000018,0.000000,5
50,0,-0.000001,24.991344,-0.000264,90.000008,24.991348,0.000001,-0.001277,-0.000001,0.001277,0.001277,0.201792,0.000066,0.000038,0.000000,6
60,0,-0.000001,24.986595,-0.000282,90.000008,24.986599,0.000001,-0.002438,-0.000001,0.002438,0.002438,0.189290,0.000132,0.000072,0.000001,7
70,0,-0.000001,24.980629,-0.000412,90.000008,24.980633,0.000001,-0.004861,-0.000001,0.004861,0.004861,0.178265,0.000280,0.000143,0.000002,8
80,0,-0.000001,24.972153,-0.000109,90.000008,24.972157,0.000001,-0.008549,-0.000001,0.008549,0.008549,0.168606,0.000555,0.000248,0.000008,9
90,0,-0.000000,24.961258,0.000112,90.000000,24.961254,0.000000,-0.015672,-0.000000,0.015672,0.015672,0.160072,0.001170,0.000451,0.000029,10
100,0,-0.000000,24.950445,0.001267,90.000008,24.950436,0.000000,-0.027173,-0.000000,0.027173,0.027173,0.152277,0.002255,0.000783,0.000083,11
110,0,-0.000000,24.939327,0.002777,90.000008,24.939285,0.000000,-0.048057,-0.000000,0.048057,0.048057,0.145219,0.005106,0.001387,0.000269,12
120,0,-0.000000,24.924643,0.006310,90.000000,24.924505,0.000000,-0.083049,-0.000000,0.083049,0.083049,0.143121,0.013339,0.002375,0.000862,13
130,0,-0.000000,24.901882,0.012603,90.000008,24.901478,0.000000,-0.142803,-0.000000,0.142803,0.142803,0.246385,0.037535,0.003971,0.002738,14
140,0,-0.000001,24.855028,0.025716,90.000000,24.853886,0.000003,-0.240075,-0.000003,0.240075,0.240075,0.413608,0.106046,0.006041,0.008385,15
150,0,-0.000000,24.745655,0.063294,90.000008,24.742973,0.000002,-0.370118,-0.000002,0.370118,0.370118,0.634633,0.265354,0.006573,0.022330,16
160,0,0.000010,24.500320,0.187981,90.000008,24.497238,-0.000016,-0.431572,0.000016,0.431572,0.431572,0.748870,0.451085,0.000271,0.039659,17
170,0,-0.000004,24.173136,0.511666,90.000008,24.178097,0.000000,-0.148056,-0.000000,0.148056,0.148056,1.087471,0.164088,0.001922,0.014647,18
180,0,-0.000070,24.129894,0.673589,89.999847,24.139288,0.000132,0.016090,-0.000132,-0.016090,0.016091,0.552866,0.005186,0.000305,0.000424,19
190,0,0.000003,24.118073,0.669198,89.999840,24.127344,0.000066,-0.025624,-0.000066,0.025624,0.025624,0.258092,0.001780,0.000774,0.000137,20
200,0,0.000056,24.106319,0.671662,89.999847,24.115519,0.000003,-0.086591,-0.000003,0.086591,0.086591,0.170920,0.014992,0.002862,0.001766,21
210,0,0.000109,24.079491,0.669804,89.999954,24.087938,-0.000096,-0.204525,0.000096,0.204525,0.204525,0.390169,0.079879,0.006605,0.009305,22
220,0,0.000042,23.989838,0.667348,89.999931,23.995541,-0.000010,-0.414463,0.000010,0.414463,0.414463,0.772205,0.325196,0.010376,0.039038,23
230,0,-0.000542,23.658741,0.725886,89.998512,23.661013,0.001149,-0.647541,-0.001149,0.647541,0.647542,1.167766,0.937024,0.004030,0.116307,24
240,0,0.001231,22.892530,1.279855,90.000595,22.928259,-0.001484,-0.029971,0.001484,0.029971,0.030008,2.362903,0.070896,0.002086,0.008800,25
250,0,-0.000215,22.885435,1.351519,89.999222,22.925303,0.000527,0.017104,-0.000527,-0.017104,0.017112,0.718777,0.007903,0.000235,0.000911,26
260,0,0.000477,22.876789,1.345623,90.000145,22.916267,-0.000545,-0.053851,0.000545,0.053851,0.053853,0.289478,0.006988,0.001799,0.001057,27
270,0,0.000295,22.860357,1.346338,90.000397,22.899370,-0.000473,-0.165620,0.000473,0.165620,0.165620,0.364792,0.064301,0.006282,0.009598,28
280,0,-0.000587,22.789709,1.324960,89.998795,22.824656,0.001028,-0.401821,-0.001028,0.401821,0.401823,0.837689,0.337344,0.013250,0.050511,29
290,0,-0.001624,22.444695,1.304443,89.994209,22.469202,0.003584,-0.775086,-0.003584,0.775086,0.775095,1.539143,1.309952,0.002936,0.202725,30
300,0,0.019883,21.245964,1.846917,90.041595,21.325491,-0.035537,-0.156752,0.035537,0.156752,0.160730,3.286933,0.519637,0.020123,0.079839,31
310,0,-0.041637,21.225636,2.363519,89.936737,21.346487,0.060901,0.662882,-0.060901,-0.662882,0.665674,1.473085,1.224821,0.021240,0.195770,32
320,0,0.391124,20.246630,1.772889,91.007156,20.314032,-0.748002,0.051578,0.748002,-0.051578,0.749778,2.305778,1.570665,0.052132,0.262533,33
330,0,-0.968812,19.649357,1.269340,88.304016,19.634741,1.553898,-0.842206,-1.553898,0.842206,1.767459,1.700376,4.446157,0.173066,0.759833,34
340,0,1.820340,16.266214,1.985771,94.008904,16.212217,-2.862024,0.905250,2.862024,-0.905250,3.001776,2.131669,8.697021,0.361290,1.564943,35
350,0,-5.751583,12.176778,3.129965,74.806267,10.132289,9.066657,2.506736,-9.066657,-2.506736,9.406806,1.710957,19.154848,0.427527,3.485747,36
360,0,2.050862,-4.567234,-2.015068,96.019028,-5.035241,-1.661977,-1.005155,1.661977,1.005155,1.942293,0.665723,1.890354,0.077960,0.362843,37
370,0,1.014186,-6.017264,-1.356009,92.534142,-6.179999,-0.796768,-0.497566,0.796768,0.497566,0.939368,0.459203,0.463267,0.030068,0.079523,38
380,0,0.746321,-5.759960,-1.105299,91.293274,-5.861194,-0.657424,-0.412331,0.657424,0.412331,0.776030,0.778067,0.407720,0.020495,0.070801,39
390,0,0.592297,-5.448386,-0.919700,90.465271,-5.515724,-0.582353,-0.345276,0.582353,0.345276,0.677016,0.996615,0.345735,0.015711,0.061096,40
400,0,0.479438,-5.172798,-0.764969,89.812668,-5.217436,-0.523667,-0.277512,0.523667,0.277512,0.592655,1.122920,0.278808,0.012348,0.049539,41
410,0,0.385707,-4.952316,-0.635319,89.263680,-4.981220,-0.469944,-0.210796,0.469944,0.210796,0.515056,1.186490,0.216456,0.009788,0.038198,42
420,0,0.302580,-4.786712,-0.529662,88.786568,-4.804898,-0.418584,-0.149882,0.418584,0.149882,0.444609,1.209799,0.165054,0.007868,0.028627,43
430,0,0.226637,-4.666066,-0.446148,88.362381,-4.677218,-0.369662,-0.097823,0.369662,0.097823,0.382386,1.208055,0.126172,0.006459,0.021353,44
440,0,0.156568,-4.578511,-0.381783,87.978996,-4.585320,-0.323764,-0.055301,0.323764,0.055301,0.328453,1.191152,0.098136,0.005432,0.016157,45
450,0,0.091879,-4.514019,-0.333210,87.628700,-4.518432,-0.281323,-0.021504,0.281323,0.021504,0.282144,1.165431,0.078293,0.004683,0.012552,46
460,0,0.032336,-4.465278,-0.297323,87.306839,-4.468704,-0.242513,0.004945,0.242513,-0.004945,0.242564,1.134909,0.064265,0.004134,0.010071,47
470,0,-0.022224,-4.426523,-0.271470,87.010315,-4.429975,-0.207306,0.025448,0.207306,-0.025448,0.208863,1.102276,0.054303,0.003728,0.008356,48
480,0,-0.072026,-4.394547,-0.253580,86.737144,-4.398753,-0.175527,0.041209,0.175527,-0.041209,0.180299,1.069011,0.047188,0.003424,0.007160,49
490,0,-0.117310,-4.366892,-0.242000,86.485733,-4.372374,-0.146947,0.053196,0.146947,-0.053196,0.156279,1.036104,0.042095,0.003190,0.006317,50
