time_us,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,bias_ax,bias_ay,bias_az,bias_gx,bias_gy,bias_gz,nis,innov_x,innov_y,innov_z,cov_pos_x,cov_pos_y,cov_pos_z,cov_yaw,des_speed,des_heading,des_climb,pid_speed,pid_yaw,pid_alt,speed_meas,yaw_meas,climb_meas,fwd_accel,yaw_rate,vert_accel,drift_m,nav_mode,mission_state
0,-0.000000,0.149994,-0.000003,-0.000071,24.999065,-0.000693,0.000014,-0.000000,1.570809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006250,0.000001,-0.249993,0.000007,2.400038,2.400038,3.600017,1.000518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.149994,1,0
10000,-0.000001,0.365212,0.020714,-0.000067,24.998146,-0.001390,0.000029,-0.000005,1.570817,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.002081,0.000001,-0.121673,0.055283,1.714420,1.714420,2.250079,1.001073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086907,3,0
20000,-0.000001,0.615422,0.015303,-0.000009,24.997526,-0.002212,0.000054,0.000004,1.570820,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000047,0.000001,0.001060,-0.019761,1.333616,1.333616,1.636554,1.001655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000824,3,0
30000,-0.000001,0.863463,0.026865,-0.000083,24.996824,-0.002601,0.000070,0.000011,1.570813,0.000001,0.000000,-0.000001,0.000000,0.000000,0.000000,0.000398,0.000002,-0.010598,0.054072,1.091392,1.091392,1.286065,1.002257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008670,3,0
40000,-0.000002,1.104211,0.021900,-0.000153,24.995842,-0.003306,0.000095,0.000014,1.570812,0.000002,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000612,0.000003,-0.059842,-0.027941,0.923811,0.923811,1.059385,1.002869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050628,3,0
50000,-0.000003,1.351189,0.027562,-0.000147,24.995100,-0.003970,0.000109,0.000008,1.570805,0.000003,0.000000,-0.000002,-0.000000,0.000000,-0.000000,0.000276,0.000004,-0.022275,0.037990,0.801036,0.801036,0.900822,1.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019302,3,0
60000,-0.000005,1.604545,0.024499,-0.000199,24.994701,-0.004938,0.000132,0.000019,1.570808,0.000001,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000200,0.000005,0.028937,-0.023077,0.707270,0.707270,0.783741,1.004094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025526,3,0
70000,-0.000005,1.851781,0.024891,-0.000111,24.993954,-0.005669,0.000140,0.000019,1.570805,0.000004,0.000000,-0.000001,-0.000000,0.000000,-0.000000,0.000100,0.000006,-0.025626,0.003882,0.633370,0.633370,0.693801,1.004688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022921,3,0
80000,-0.000006,2.104137,0.022463,-0.000103,24.993561,-0.006368,0.000146,0.000014,1.570806,0.000001,0.000000,0.000002,-0.000000,-0.000000,0.000000,0.000174,0.000006,0.025329,-0.022806,0.573673,0.573673,0.622594,1.005260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022907,3,0
90000,-0.000006,2.356812,0.025869,-0.000081,24.993263,-0.006792,0.000161,0.000018,1.570800,-0.000003,0.000000,-0.000003,-0.000000,-0.000000,0.000000,0.000356,0.000006,0.031403,0.036932,0.524488,0.524488,0.564865,1.005801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028658,3,0
100000,-0.000005,2.606529,0.026278,0.000000,24.992599,-0.007419,0.000180,0.000014,1.570808,-0.000003,0.000000,-0.000004,-0.000000,-0.000000,0.000000,0.000006,0.000006,-0.002600,0.005613,0.483303,0.483303,0.517162,1.006301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002391,3,0
110000,-0.000005,2.856906,0.026819,0.000033,24.992035,-0.007987,0.000204,0.000009,1.570803,-0.000004,0.000000,-0.000005,-0.000000,-0.000000,0.000000,0.000015,0.000005,0.006115,0.007823,0.448353,0.448353,0.477121,1.006754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005658,3,0
120000,-0.000004,3.111966,0.029183,0.000002,24.992197,-0.008347,0.000217,0.000016,1.570809,-0.000020,0.000000,-0.000012,-0.000000,-0.000000,0.000000,0.001015,0.000005,0.073807,0.033179,0.418358,0.418358,0.443071,1.007150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068661,3,0
130000,-0.000003,3.368227,0.027246,0.000121,24.992662,-0.009209,0.000224,0.000033,1.570813,-0.000045,0.000000,-0.000006,-0.000000,-0.000001,0.000000,0.001578,0.000003,0.097051,-0.026786,0.392369,0.392369,0.413797,1.007481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090704,3,0
140000,-0.000001,3.624261,0.024841,0.000182,24.993401,-0.010404,0.000231,0.000051,1.570822,-0.000074,0.000000,0.000005,-0.000000,-0.000001,-0.000000,0.001737,0.000001,0.099209,-0.035609,0.369666,0.369666,0.388393,1.007739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093097,3,0
150000,0.000001,3.881269,0.026943,0.000239,24.994476,-0.010731,0.000248,0.000066,1.570832,-0.000115,0.000000,-0.000007,-0.000000,-0.000002,-0.000000,0.002522,-0.000001,0.121474,0.036277,0.349695,0.349695,0.366172,1.007915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114394,3,0
160000,0.000004,4.138007,0.029390,0.000262,24.995636,-0.010857,0.000269,0.000083,1.570827,-0.000162,0.000000,-0.000024,0.000000,-0.000003,-0.000000,0.002686,-0.000004,0.122881,0.044345,0.332020,0.332020,0.346600,1.008002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.116081,3,0
170000,0.000005,4.395571,0.028841,0.000200,24.997238,-0.011765,0.000278,0.000100,1.570827,-0.000223,0.000000,-0.000020,0.000000,-0.000005,-0.000000,0.003303,-0.000006,0.144436,-0.007892,0.316296,0.316296,0.329260,1.007991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.136822,3,0
180000,0.000007,4.646848,0.029813,0.000166,24.997093,-0.012274,0.000296,0.000106,1.570822,-0.000236,-0.000000,-0.000030,0.000000,-0.000005,-0.000000,0.000177,-0.000007,0.026008,0.021008,0.302245,0.302245,0.313817,1.007875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024698,3,0
190000,0.000008,4.902252,0.029585,0.000206,24.998419,-0.013172,0.000310,0.000127,1.570822,-0.000295,-0.000000,-0.000029,0.000000,-0.000006,-0.000000,0.002014,-0.000009,0.112674,-0.001936,0.289640,0.289640,0.300003,1.007645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.107235,3,0
200000,0.000010,5.157596,0.027730,0.000245,24.999907,-0.014284,0.000323,0.000139,1.570815,-0.000363,-0.000000,-0.000009,0.000000,-0.000008,-0.000000,0.002331,-0.000011,0.115683,-0.035853,0.278294,0.278293,0.287598,1.007295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110317,3,0
210000,0.000012,5.411118,0.029700,0.000247,25.000778,-0.014173,0.000332,0.000162,1.570825,-0.000413,-0.000000,-0.000038,0.000000,-0.000010,-0.000000,0.001330,-0.000013,0.078992,0.046010,0.268052,0.268052,0.276421,1.006817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.075463,3,0
220000,0.000014,5.668167,0.027789,0.000240,25.003382,-0.015613,0.000353,0.000200,1.570835,-0.000528,-0.000000,-0.000010,0.000000,-0.000013,-0.000000,0.004509,-0.000015,0.163404,-0.039711,0.258785,0.258785,0.266321,1.006203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.156356,3,0
230000,0.000016,5.920921,0.029017,0.000231,25.004028,-0.015506,0.000379,0.000217,1.570831,-0.000577,-0.000000,-0.000035,0.000000,-0.000015,-0.000000,0.000850,-0.000016,0.065360,0.032417,0.250383,0.250382,0.257172,1.005447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062633,3,0
240000,0.000017,6.175438,0.028137,0.000197,25.005873,-0.016600,0.000398,0.000252,1.570834,-0.000669,-0.000000,-0.000021,0.000000,-0.000018,-0.000000,0.002010,-0.000018,0.110782,-0.017291,0.242752,0.242752,0.248866,1.004542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.106299,3,0
250000,0.000018,6.428436,0.027720,0.000181,25.007010,-0.017423,0.000410,0.000264,1.570843,-0.000735,-0.000000,-0.000015,0.000000,-0.000020,-0.000000,0.000904,-0.000019,0.074914,-0.006066,0.235814,0.235814,0.241314,1.003482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071970,3,0
